再三 |さいさん |again and again; repeatedly |N/A
祭日 |さいじつ |national holiday; festival day |N/A
催促 |さいそく |pressing; urging; demanding; demand |N/A
採点 |さいてん |marking; grading; scoring |N/A
災難 |さいなん |calamity; misfortune; disaster |N/A
裁縫 |さいほう |sewing; needlework |N/A
|サイレン |siren |N/A
逆さま |さかさま |inverted; upside down; reversed; back to front; wrong way round |N/A
遡る |さかのぼる |[1] to go upstream; to go up (a river) [2] to go back (to the past or origin); to date back (to); to trace back (to); to be retroactive (to) |3554
酒場 |さかば |bar; pub; tavern |N/A
先ほど |さきほど |a short while ago; a moment ago; just now; some time ago |478
裂く |さく |[1] to tear; to rip up [2] to cut up; to cleave; to cut open (esp. the abdomen) [3] to forcibly separate (e.g. two lovers) |N/A
索引 |さくいん |index (in a book) |N/A
作者 |さくしゃ |creator (of a work); author; writer; artist; composer; playwright; dramatist |3711
削除 |さくじょ |deletion; elimination; erasure; striking out |2088
作成 |さくせい |making (a report, plan, contract, etc.); drawing up; writing out; preparing; creating (a file, website, account, etc.) |994
作製 |さくせい |manufacture; production |N/A
探る |さぐる |[1] to feel around for; to fumble for; to grope for; to search for; to look for [2] to investigate; to probe into; to spy on; to sound out [3] to explore (parts unknown); to enjoy (natural beauty) |3210
囁く |ささやく |[1] to whisper; to murmur [2] to rumor; to rumour |4527
刺さる |ささる |[1] to stick into (of something with a sharp point); to prick; to pierce; to get stuck (in); to lodge (in) [2] to resonate emotionally; to move |N/A
差し支え |さしつかえ |hindrance; impediment |N/A
差し引き |さしひき |[1] deduction; subtraction; balance [2] ebb and flow; rise and fall |N/A
刺身 |さしみ |sashimi (raw sliced fish, shellfish or crustaceans) |4734
匙 |さじ |spoon |N/A
射す |さす |to shine |825
刺す |さす |[1] to pierce; to stab; to prick; to stick; to thrust [2] to sting; to bite [3] to sew; to stitch; to embroider |N/A
挿す |さす |[1] to insert; to put in [2] to plant (a cutting); to strike [3] to arrange (flowers) |N/A
流石 |さすが |[1] as one would expect; just as you'd expect (from); just like (someone) [2] still; all the same; after all [3] even ... (e.g. "even a genius") |1048
早速 |さっそく |at once; immediately; without delay; promptly |1905
撮影 |さつえい |photography (still or motion); photographing; filming; shooting; (video) recording |1324
錆 |さび |rust |N/A
錆びる |さびる |to rust; to become rusty |N/A
冷ます |さます |[1] to cool (e.g. from a high temperature to room temperature); to let cool [2] to dampen; to throw a damper on; to spoil |N/A
