来場|らいじょう|attendance|N/A
|ライス|rice (esp. when served on a plate)|N/A
酪農|らくのう|[1] dairy farming [2] Rakunou|N/A
楽観|らっかん|optimism; taking an optimistic view|N/A
|ラベル|[1] label [2] (record) label|N/A
|ランプ|lamp; light|N/A
乱用|らんよう|abuse; misuse; misappropriation; using to excess|N/A
理屈|りくつ|[1] theory; reason; logic [2] (unreasonable) argument; strained logic; excuse; pretext|4890
利根|りこん|intelligence; cleverness; innate aptitude|N/A
利子|りし|interest (on a deposit, loan, etc.)|N/A
利潤|りじゅん|profit; returns|N/A
理性|りせい|reason; reasoning power; (one's) sense|N/A
利息|りそく|interest (on a loan, deposit etc.)|N/A
立体|りったい|[1] solid body; three-dimensional object [2] multi-storey car park|N/A
立法|りっぽう|legislation; lawmaking|N/A
利点|りてん|advantage; point in favor; point in favour|3375
略語|りゃくご|abbreviation; acronym|N/A
流|りゅう|[1] way; manner; style; fashion; mode [2] school (e.g. of flower arrangement) [3] class; rate; rank|N/A
流通|りゅうつう|[1] circulation (of money, goods, etc.); distribution [2] circulation (of air, water, etc.); ventilation; flow [3] Ryuutsuu|4427
了|りょう|finish; completion; the end|N/A
料|りょう|[1] fee; charge; rate [2] material|N/A
領域|りょういき|[1] territory; domain [2] field; area; domain; sphere; realm [3] domain; region|3233
了解|りょうかい|[1] comprehension; consent; understanding; agreement [2] OK; roger|N/A
領海|りょうかい|territorial waters|N/A
両極|りょうきょく|[1] both extremities [2] North and South Poles [3] positive and negative poles|N/A
良識|りょうしき|good sense|N/A
良質|りょうしつ|good quality; fine quality; superior quality; high quality|N/A
良心|りょうしん|conscience|N/A
領地|りょうち|territory; dominion; grounds (e.g. school)|N/A
領土|りょうど|territory; domain; dominion; possession|N/A
両立|りょうりつ|compatibility; coexistence; standing together|N/A
旅客|りょかく|[1] passenger [2] traveller; traveler; tourist|N/A
旅券|りょけん|passport|N/A
履歴|りれき|[1] personal history; background; career [2] log; record; history [3] hysteresis|N/A
理論|りろん|theory|3100
輪|りん|counter for wheels and flowers|N/A
林業|りんぎょう|forestry|N/A
類似|るいじ|resemblance; similarity; likeness; analogy|N/A
類推|るいすい|[1] analogy [2] analogical reasoning; analogical inference [3] analogy|N/A
|ルーズ|[1] loose (e.g. belt) [2] slovenly; careless; slack|N/A
|ルール|rule|2261
冷酷|れいこく|cruelty; coldheartedness; relentless; ruthless|N/A
冷蔵|れいぞう|cold storage; refrigeration|N/A
冷淡|れいたん|[1] cool; indifferent; apathetic; half-hearted [2] cold; cold-hearted; heartless; unkind|N/A
|レギュラー|[1] regular; standard [2] regular player (on a team); regular guest (on a TV show); (a) regular [3] regular (gasoline)|N/A
|レッスン|lesson|3346
|レディー|lady|N/A
|レバー|liver|N/A
恋愛|れんあい|love; love-making; passion; emotion; affections|3051
|レンジ|[1] range; stove; cooker [2] microwave oven|N/A
連帯|れんたい|[1] solidarity [2] joint; collective|N/A
|レンタカー|[1] rental car; rent-a-car; hire car; hired car [2] car rental agency; car hire agency; hire car agency|N/A
連中|れんちゅう|[1] company; lot; people; bunch; gang; pack; guys; group; folks [2] troupe; company (of musicians)|1796
|レントゲン|[1] X-ray [2] roentgen (unit of ionizing radiation)|N/A
連邦|れんぽう|federation (of states); confederation; commonwealth; union|N/A
|レース|[1] race [2] Rees; Race|2893
朗読|ろうどく|reading aloud; recitation|N/A
浪費|ろうひ|waste; extravagance|N/A
碌な|ろくな|satisfactory; decent; good; proper; respectable|N/A
碌に|ろくに|(not) well; (not) properly; (not) enough; (not) sufficiently; (not) satisfactorily; (not) decently|N/A
露骨|ろこつ|[1] open; unconcealed; undisguised; blatant; plain; frank [2] broad; lewd; indecent; crude|N/A
|ロマンチック|romantic|N/A
論議|ろんぎ|discussion; argument; debate|N/A
論理|ろんり|logic|4478
|ロープ|rope|4568
