ライター |lighter |4378
楽 |らく |[1] comfort; ease; relief; (at) peace; relaxation [2] easy; simple; without trouble; without hardships [3] (economically) comfortable |1128
ラケット |racket; paddle (in table-tennis) |N/A
利益 |りえき |[1] profit; gains [2] benefit; advantage; good; interests (e.g. of society) [3] grace (of God, Buddha, etc., esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle |1395
理解 |りかい |[1] understanding; comprehension; appreciation [2] sympathy |546
陸 |りく |land; shore |N/A
利口 |りこう |[1] clever; intelligent; bright; smart; wise; sensible; shrewd [2] well-behaved (esp. of children and pets); obedient; good |N/A
離婚 |りこん |divorce |2457
理想 |りそう |ideal; ideals |2575
率 |りつ |rate; ratio; proportion; percentage |N/A
留学 |りゅうがく |[1] studying abroad [2] (temporarily) studying at another school (to learn a specific skill) |2840
流行 |りゅうこう |[1] fashion; trend; vogue; craze; fad; popularity [2] prevalence (of a disease); epidemic |3101
量 |りょう |[1] quantity; amount; volume; capacity; portion (of food) [2] generosity; magnanimity; tolerance [3] pramana (means by which one gains accurate and valid knowledge; in Indian philosophy) |1041
両替 |りょうがえ |change; money exchange |N/A
料金 |りょうきん |fee; charge; fare |2136
例 |れい |[1] example; instance; illustration; case [2] precedent [3] custom; habit; practice; usage |592
礼 |れい |[1] thanks; gratitude [2] manners; etiquette [3] bow (i.e. bending of the body); bowing |2323
冷静 |れいせい |calmness; composure; coolness; serenity; presence of mind |3169
列車 |れっしゃ |train; railway train |2525
列 |れつ |[1] row; line; file; column; queue; rank; procession [2] company (of someone); group; ranks [3] sequence |3865
連想 |れんそう |association (of ideas); being reminded (of something); suggestion |N/A
連続 |れんぞく |continuation; succession; series |3335
老人 |ろうじん |old person; senior citizen; the aged; the elderly |1643
労働 |ろうどう |[1] labor; labour; work [2] Labour Party |3491
ロケット |rocket |N/A
論じる |ろんじる |[1] to discuss; to talk about; to deal with (a topic) [2] to argue; to dispute [3] to take into consideration; to make an issue of |N/A
論争 |ろんそう |dispute; controversy; debate; argument; taking issue |N/A
論文 |ろんぶん |thesis; essay; treatise; paper; article |3151 
